Código SNIES del programa,Año,Semestre,ID Sexo,Admitidos 2014,Selected
16926,2014,2,1,37,No
16927,2014,1,2,4,No
16927,2014,2,2,2,No
16927,2014,1,1,3,No
16927,2014,2,1,2,No
16932,2014,1,2,7,No
16932,2014,2,2,10,No
16932,2014,1,1,7,No
16932,2014,2,1,3,No
16933,2014,1,2,8,No
16933,2014,2,2,5,No
16933,2014,1,1,14,No
16933,2014,2,1,5,No
16934,2014,1,2,1,No
16934,2014,2,2,1,No
16934,2014,1,1,3,No
16936,2014,1,2,1,No
16936,2014,2,2,2,No
16936,2014,1,1,3,No
16936,2014,2,1,11,No
19860,2014,2,2,6,No
19860,2014,2,1,5,No
19861,2014,1,2,6,No
19861,2014,2,2,10,No
19861,2014,1,1,3,No
19861,2014,2,1,5,No
19863,2014,1,2,8,No
19863,2014,1,1,3,No
19864,2014,1,2,3,No
19864,2014,2,2,5,No
19864,2014,1,1,3,No
19864,2014,2,1,5,No
19865,2014,1,2,2,No
19865,2014,2,2,9,No
19865,2014,1,1,5,No
19865,2014,2,1,6,No
19866,2014,1,2,6,No
19866,2014,2,2,2,No
19866,2014,1,1,9,No
19866,2014,2,1,2,No
19867,2014,1,2,8,No
19867,2014,2,2,9,No
19867,2014,1,1,4,No
19867,2014,2,1,6,No
19887,2014,1,2,3,No
19887,2014,2,2,8,No
19887,2014,1,1,2,No
19887,2014,2,1,4,No
19888,2014,1,2,1,No
19888,2014,2,1,1,No
19889,2014,1,2,2,No
19889,2014,2,2,1,No
19889,2014,1,1,5,No
19889,2014,2,1,3,No
19890,2014,1,2,2,No
19890,2014,1,1,1,No
19890,2014,2,1,2,No
19971,2014,1,2,1,No
19971,2014,2,2,3,No
19971,2014,1,1,4,No
19971,2014,2,1,3,No
21553,2014,1,1,1,No
21554,2014,1,2,11,No
21554,2014,2,2,6,No
21554,2014,1,1,7,No
21554,2014,2,1,5,No
21555,2014,1,2,12,No
21555,2014,1,1,13,No
51669,2014,1,2,1,No
51669,2014,2,2,1,No
51669,2014,1,1,4,No
51669,2014,2,1,3,No
51670,2014,1,2,1,No
51670,2014,2,2,2,No
51670,2014,2,1,3,No
51671,2014,1,2,1,No
51671,2014,1,1,3,No
51671,2014,2,1,4,No
51672,2014,1,2,2,No
51672,2014,2,1,3,No
52737,2014,1,2,1,No
52737,2014,1,1,2,No
52737,2014,2,1,2,No
52751,2014,2,2,4,No
52751,2014,1,1,2,No
52751,2014,2,1,2,No
52752,2014,1,2,4,No
52752,2014,1,1,6,No
52753,2014,1,2,6,No
52753,2014,1,1,4,No
52754,2014,1,2,2,No
52754,2014,1,1,1,No
52973,2014,1,2,20,No
52973,2014,1,1,16,No
52974,2014,1,2,5,No
52974,2014,1,1,11,No
55126,2014,1,2,1,No
55126,2014,2,2,2,No
55126,2014,1,1,2,No
55126,2014,2,1,4,No
55127,2014,1,2,2,No
55127,2014,1,1,3,No
55127,2014,2,1,1,No
55130,2014,2,2,10,No
55130,2014,2,1,10,No
55143,2014,2,2,4,No
55143,2014,2,1,3,No
55144,2014,1,2,29,No
55144,2014,2,2,31,No
55144,2014,1,1,32,No
55144,2014,2,1,52,No
55146,2014,2,2,3,No
55146,2014,2,1,1,No
55152,2014,1,1,1,No
55152,2014,2,1,4,No
55183,2014,1,1,2,No
55188,2014,1,2,3,No
55188,2014,2,2,3,No
55188,2014,2,1,2,No
55189,2014,1,2,17,No
55189,2014,2,2,30,No
55189,2014,1,1,29,No
55189,2014,2,1,24,No
90701,2014,2,1,10,No
90759,2014,1,2,1,No
90759,2014,1,1,4,No
91523,2014,1,2,3,No
91523,2014,1,1,6,No
101467,2014,1,2,1,No
101467,2014,1,1,12,No
101467,2014,2,1,7,No
101797,2014,2,2,4,No
101797,2014,2,1,6,No
101984,2014,1,1,1,No
102077,2014,1,2,1,No
102077,2014,2,2,3,No
102077,2014,1,1,3,No
102077,2014,2,1,6,No
102566,2014,1,2,6,No
102566,2014,2,2,10,No
102566,2014,1,1,14,No
102566,2014,2,1,12,No
102864,2014,1,2,4,No
102864,2014,2,2,2,No
102864,2014,1,1,2,No
102864,2014,2,1,1,No
102865,2014,2,2,2,No
102865,2014,2,1,3,No
4120,2014,1,2,26,No
4120,2014,2,2,36,No
4120,2014,1,1,37,No
4120,2014,2,1,23,No
4121,2014,1,2,13,No
4121,2014,2,2,16,No
4121,2014,1,1,44,No
4121,2014,2,1,43,No
4122,2014,1,2,7,No
4122,2014,2,2,10,No
4122,2014,1,1,62,No
4122,2014,2,1,52,No
4123,2014,1,2,8,No
4123,2014,2,2,9,No
4123,2014,1,1,65,No
4123,2014,2,1,55,No
4124,2014,1,2,15,No
4124,2014,2,2,18,No
4124,2014,1,1,34,No
4124,2014,2,1,28,No
4125,2014,1,2,22,No
4125,2014,2,2,38,No
4125,2014,1,1,57,No
4125,2014,2,1,37,No
4126,2014,1,2,17,No
4126,2014,2,2,21,No
4126,2014,1,1,33,No
4126,2014,2,1,35,No
4129,2014,2,2,4,No
4129,2014,2,1,5,No
16911,2014,1,2,16,No
16911,2014,2,2,16,No
16911,2014,1,1,40,No
16911,2014,2,1,46,No
16912,2014,1,2,12,No
16912,2014,2,2,12,No
16912,2014,1,1,42,No
16912,2014,2,1,49,No
16914,2014,1,2,31,No
16914,2014,1,1,25,No
16915,2014,1,2,12,No
16915,2014,2,2,28,No
16915,2014,1,1,39,No
16915,2014,2,1,35,No
16916,2014,1,2,6,No
16916,2014,2,2,3,No
16916,2014,1,1,33,No
16916,2014,2,1,17,No
19921,2014,2,2,11,No
19921,2014,2,1,10,No
19924,2014,1,1,5,No
19924,2014,2,1,3,No
19926,2014,1,2,2,No
19926,2014,2,2,1,No
19926,2014,1,1,1,No
19926,2014,2,1,4,No
19969,2014,1,2,14,No
19969,2014,2,2,4,No
19969,2014,1,1,25,No
19969,2014,2,1,13,No
20493,2014,1,2,3,No
20493,2014,2,2,2,No
20493,2014,1,1,7,No
20493,2014,2,1,5,No
51673,2014,1,2,10,No
51673,2014,2,2,7,No
51673,2014,1,1,5,No
51673,2014,2,1,14,No
54035,2014,1,2,1,No
54035,2014,1,1,4,No
54035,2014,2,1,4,No
55025,2014,1,2,1,No
55025,2014,2,2,2,No
55025,2014,2,1,7,No
55030,2014,1,2,10,No
55030,2014,2,2,7,No
55030,2014,1,1,5,No
55030,2014,2,1,14,No
55133,2014,1,2,3,No
55133,2014,2,2,10,No
55133,2014,1,1,3,No
55133,2014,2,1,6,No
55134,2014,1,2,25,No
55134,2014,2,2,12,No
55134,2014,1,1,22,No
55134,2014,2,1,20,No
55135,2014,1,2,4,No
55135,2014,2,2,4,No
55135,2014,1,1,5,No
55135,2014,2,1,3,No
55139,2014,2,2,1,No
55139,2014,1,1,3,No
55139,2014,2,1,3,No
55140,2014,1,2,16,No
55140,2014,2,2,7,No
55140,2014,1,1,16,No
55140,2014,2,1,13,No
55151,2014,2,2,1,No
55151,2014,2,1,1,No
55184,2014,1,2,3,No
55184,2014,1,1,5,No
55190,2014,1,2,1,No
55190,2014,2,2,1,No
55190,2014,1,1,4,No
55190,2014,2,1,13,No
101582,2014,1,2,5,No
101582,2014,2,2,4,No
101582,2014,1,1,7,No
101582,2014,2,1,8,No
101983,2014,1,2,1,No
101983,2014,2,2,1,No
101983,2014,1,1,2,No
101983,2014,2,1,2,No
103154,2014,2,2,4,No
103154,2014,2,1,6,No
143,2014,1,2,34,No
143,2014,2,2,29,No
143,2014,1,1,35,No
143,2014,2,1,33,No
144,2014,1,2,8,No
144,2014,2,2,23,No
144,2014,1,1,36,No
144,2014,2,1,29,No
3104,2014,1,2,25,No
3104,2014,2,2,33,No
3104,2014,1,1,48,No
3104,2014,2,1,39,No
16902,2014,1,2,28,No
16902,2014,2,2,32,No
16902,2014,1,1,19,No
16902,2014,2,1,19,No
16903,2014,1,2,10,No
16903,2014,2,2,22,No
